Address,Year Built,Community,Management Company,Fee includes,Amenities,Condo Fee,Beds,Baths,Price,Link
"190 Guelph Pvt 202,Ottawa, ON K2T 0J7",2013,Kanata Lakes,Sentinel Management,"Building Insurance, Management Fee, Water/Sewer","Balcony, Clubhouse, Elevator",$536,2,2,"$527,000",https://www.redfin.com/on/ottawa/190-Guelph-Pvt-K2T-0C3/unit-202/home/149185597
"140 Guelph Pvt 101,Ottawa, ON K2T 0J2",2013,Kanata Lakes,Sentinel,"Amenities, Building Insurance, Caretaker, Landscape, Management, Fee, Snow Removal, Water/Sewer","AC, Balcony, Clubhouse, Elevator, Exercise Centre, Party Room,, Storage Lockers",$512.06,2,2,"$484,900",https://www.redfin.com/on/ottawa/140-Guelph-Pvt-K2T-0C4/unit-101/home/149186874
"190 Guelph Pvt 104,Kanata, ON K2T 0J7",2014,Kanata Lakes,Sentinel Management,"Building Insurance, Caretaker, Management Fee, Reserve Fund, Allocation, Water/Sewer","Clubhouse, Elevator, Exercise Centre, Multi Use Room",$560,2,2,"$517,000",https://www.redfin.com/on/ottawa/190-Guelph-Pvt-K2T-0C3/unit-104/home/149256779
"387 Pickford Dr,Kanata, ON K2L 3P3",1984,Katimavik,CMG,"Building Insurance, Management Fee, Water/Sewer",,$385,3,2.5,"$450,200",https://www.redfin.com/on/ottawa/387-Pickford-Dr-K2L-3P3/home/149729758
"102 Barrow Cres,Ottawa, ON K2L 2K1",1979,Katimavik,PREMIERE PROPERTY MANAGMENT,"Building Insurance, General Maintenance and Repair, Landscape,, Reserve Fund Allocation, Water/Sewer",,$280,3,1.5,"$415,000",https://www.redfin.com/on/ottawa/102-Barrow-Cres-K2L-2K1/home/149731681
"18 Clarkson Cres,Kanata, ON K2L 3E2",1985,Katimavik,CMG,"Building Insurance, Caretaker, Management Fee, Water/Sewer",,$360,3,2,"$526,300",https://www.redfin.com/on/ottawa/18-Clarkson-Cres-K2L-4H6/home/149735528
"98 Clarkson Cres,Kanata, ON K2L 4C6",1984,Katimavik,Condo Management Corp,"Building Insurance, Caretaker, General Maintenance and Repair,, Landscape, Management Fee, Water/Sewer",,$350,3,2.5,"$450,000",https://www.redfin.com/on/ottawa/98-Clarkson-Cres-K2L-3E2/home/149735757
"19 Durbin Crt,Ottawa, ON K2L 3T7",1987,Katimavik/kanata,EO Property Management Group,"Building Insurance, Caretaker, Garbage Removal, Management Fee,, Reserve Fund Allocation, Snow Removal",,$119,3,2.5,"$534,000",https://www.redfin.com/on/ottawa/19-Durbin-Crt-K2L-3T7/home/149739739
"144 Mcclintock Way,Ottawa, ON K2L 2A4",1977,Katimavik,Condominium Management Group,"Building Insurance, Caretaker, Management Fee, Snow Removal,, Water/Sewer",,$491.32,3,1.5,"$430,000",https://www.redfin.com/on/ottawa/144-McClintock-Way-K2L-2A4/home/149739822
"300 Fenerty Crt 1,Ottawa, ON K2L 3A8",1983,Katimavik,CMG,"General Maintenance and Repair, Landscape, Snow Removal,, Water/Sewer",,$629.06,0 + 3,1.5,"$360,000",https://www.redfin.com/on/ottawa/300-Fenerty-Crt-K2L-3B1/unit-1/home/149742685
"440 Fenerty Crt 1,Ottawa, ON K2L 3A9",1984,Katimavik,CMG,"Building Insurance, Caretaker, Management Fee, Water/Sewer",Balcony,$545.08,0 + 2,1.5,"$265,000",https://www.redfin.com/on/ottawa/440-Fenerty-Crt-K2L-3A8/unit-1/home/149745190
"51 Lightfoot Pl,Ottawa, ON K2L 3M3",1986,Katimavik,Carleton Condo Corp MGMT Co,"Building Insurance, Caretaker, Management Fee, Water/Sewer",Playground,$366,3,2,"$557,000",https://www.redfin.com/on/ottawa/51-Lightfoot-Pl-K2L-3M3/home/149835427
"40 Bujold Crt,Kanata, ON K2L 3N5",1984,Katimavik,CMG,"Building Insurance, Caretaker, General Maintenance and Repair,, Landscape, Management Fee, Snow Removal, Water/Sewer",,$447.23,3,1.5,"$501,000",https://www.redfin.com/on/ottawa/40-Bujold-Crt-K2L-3N5/home/149836281
"253 Pickford Dr,Ottawa, ON K2L 2C6",1978,Katimavik,PMA Realty,"Insurance, Management Fee, Water/Sewer",,$336,3,1.5,"$431,500",https://www.redfin.com/on/ottawa/253-Pickford-Dr-K2L-2C5/home/149836801
"25 Bering Crt,Kanata, ON K2L 2B8",1977,Katimavik,Sentinel Management,"Building Insurance, Caretaker, Management Fee, Water/Sewer",Other (See Remarks),$382.22,3,1.5,"$368,000",https://www.redfin.com/on/ottawa/25-Bering-Crt-K2L-2B8/home/149839680
"61 Mcclintock Way,Ottawa, ON K2L 2A5",1977,Katimavik,Condominium Management Group,"Building Insurance, Caretaker, Management Fee, Reserve Fund, Allocation, Snow Removal, Water/Sewer",,$491.32,3,2,"$505,500",https://www.redfin.com/on/ottawa/61-McClintock-Way-K2L-2A5/home/149840425
"70 Barrow Cres,Kanata, ON K2L 2K1",1979,Katimavik,Premiere Property Management,"Building Insurance, Management Fee, Water/Sewer",,$282,3,1.5,"$512,000",https://www.redfin.com/on/ottawa/70-Barrow-Cres-K2L-2J1/home/149842018
"403 Stratas Crt,Kanata, ON K2L 3K6",2012,Kanata,CMG,"Building Insurance, General Maintenance and Repair, Management, Fee, Snow Removal, Water/Sewer",,$459,2,2,"$440,000",https://www.redfin.com/on/ottawa/403-Stratas-Crt-K2L-3K6/home/149844026
"37 Bering Crt,Kanata, ON K2L 2B8",1977,Katimavik,Sentinel Management,"Building Insurance, Garbage Removal, General Maintenance and, Repair, Landscape, Management Fee, Snow Removal, Water/Sewer",,$382.27,3,1.5,"$510,000",https://www.redfin.com/on/ottawa/37-Bering-Crt-K2L-2B8/home/149847703
"59 Pickford Dr,Ottawa, ON K2L 2C2",1978,Katimivak,Sentinel,"Building Insurance, Garbage Removal, General Maintenance and, Repair, Insurance, Reserve Fund Allocation, Snow Removal, Water/Sewer",,$333.10,3,1.5,"$489,000",https://www.redfin.com/on/ottawa/59-Pickford-Dr-K2L-2C4/home/149849432
"12 Durbin Crt,Ottawa, ON K2L 3T8",1989,Katimavik,EO Property Management Group,"Building Insurance, Caretaker, Garbage Removal, Management Fee,, Reserve Fund Allocation, Snow Removal",,$119,3,2.5,"$543,000",https://www.redfin.com/on/ottawa/12-Durbin-Crt-K2L-3T8/home/149849825
"178 Barrow Cres,Ottawa, ON K2L 2J1",1979,Katimavik,Premier property,"Management Fee, Water/Sewer",,$280,3,1.5,"$525,600",https://www.redfin.com/on/ottawa/178-Barrow-Cres-K2L-2K1/home/149934483
"8 Chimo Dr,Kanata, ON K2L 2A1",1977,Katimavik,Condo Management Group,"Building Insurance, Caretaker, Recreation Facilities, Snow, Removal, Water/Sewer",,$480,3,1.5,"$390,800",https://www.redfin.com/on/ottawa/8-Chimo-Dr-K2L-2A1/home/149934991
"82 Barrow Cres,Ottawa, ON K2L 2K1",1978,Katimavik,Premiere Property Management,"Building Insurance, Caretaker, Management Fee, Water/Sewer",,$280,3,1.5,"$365,000",https://www.redfin.com/on/ottawa/82-Barrow-Cres-K2L-2J1/home/149937349
"8 Barrow Cres,Kanata, ON K2L 2K1",1978,Katimavik,Premiere Property Management,"Building Insurance, Management Fee, Reserve Fund Allocation,, Water/Sewer",,$280,3,1.5,"$575,200",https://www.redfin.com/on/ottawa/8-Barrow-Cres-K2L-2J1/home/149939248
"130 Barrow Cres,Kanata, ON K2M 2G9",1979,Katimivak,Premiere Property Management,"Insurance, Snow Removal, Water/Sewer",,$282,3,1.5,"$492,500",https://www.redfin.com/on/ottawa/130-Barrow-Cres-K2L-2K1/home/149942904
"159 Mcclintock Way,Ottawa, ON K2L 2A5",1977,Katimavik,Condominium Management Group,"Building Insurance, Caretaker, Management Fee, Reserve Fund, Allocation, Snow Removal, Water/Sewer",,$465.71,3,2,"$355,000",https://www.redfin.com/on/ottawa/159-McClintock-Way-K2L-2A5/home/149947070
"240 Fenerty Crt 1,Kanata, ON K2L 3A7",1984,Katimavik Gardens,Condominium Management Group,"Building Insurance, Snow Removal, Water/Sewer",Balcony,$545.08,0 + 2,1.5,"$261,000",https://www.redfin.com/on/ottawa/240-Fenerty-Crt-K2L-3A7/unit-1/home/149948412
"440 Fenerty Crt 2,Ottawa, ON K2L 3E3",1983,Katimavik,CMG,"Building Insurance, Caretaker, Management Fee, Water/Sewer","Balcony, Fire Place",$545.08,0 + 2,1.5,"$292,000",https://www.redfin.com/on/ottawa/440-Fenerty-Crt-K2L-3A8/unit-2/home/149948904
"200 Fenerty Crt 4,Kanata, ON K2L 3A7",1984,Katimavik,CMG,"Building Insurance, Caretaker, Management Fee, Snow Removal,, Water/Sewer",Balcony,$545.08,0 + 2,1.5,"$292,000",https://www.redfin.com/on/ottawa/200-Fenerty-Crt-K2L-3B1/unit-4/home/149949868
"114 Barrow St,Kanata, ON K2L 2J1",1978,Katimavik,PPMA,"Building Insurance, Caretaker, Management Fee, Water/Sewer",,$280,3,1.5,"$505,000",https://www.redfin.com/on/ottawa/114-Barrow-Cres-K2L-2K1/home/149953507
"140 Fenerty Crt 2,Kanata, ON K2L 3A7",1984,Katimavik,CMG,"Building Insurance, Caretaker, Garbage Removal, Management Fee,, Reserve Fund Allocation, Snow Removal, Water/Sewer",,$545.08,0 + 2,1.5,"$338,300",https://www.redfin.com/on/ottawa/140-Fenerty-Crt-K2L-3B1/unit-2/home/149953668
"42 Bering Crt,Ottawa, ON K2L 2B7",1976,Katimavik,Sentinel Management,"Building Insurance, Caretaker, Management Fee, Snow Removal,, Water/Sewer",,$427.86,3,1.5,"$479,000",https://www.redfin.com/on/ottawa/42-Bering-Crt-K2L-2B8/home/149959751
"5 Jackson Crt,Ottawa, ON K2K 1B6",1973,Beaverbrook,CMG,"Caretaker, Insurance, Management Fee, Recreation Facilities,, Water/Sewer",Outdoor Pool,$570,3,1.5,"$425,500",https://www.redfin.com/on/ottawa/5-Jackson-Crt-K2K-1E5/home/150152713
